# ---------------------------------- WARNING ----------------------------------------,,,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,,,
# for any damages resulting from its use.,,,,,,,
#,,,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,
#,,,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,
#,,,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,,,
# retrieved: 2017-05-23 13:15:13 EDT       (nadww02),,,,,,,
#,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,
"#    USGS 07010075 Deer Creek at Ladue, MO",,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,
#,,,,,,,
# Data provided for site 07010075,,,,,,,
#            TS   parameter     Description,,,,,,,
"#         77472       00065     Gage height, feet",,,,,,,
"#         77474       00060     Discharge, cubic feet per second",,,,,,,
#,,,,,,,
# Data-value qualification codes included in this output:,,,,,,,
#        ,,,,,,,
#     A  Approved for publication -- Processing and review completed.,,,,,,,
# ,,,,,,,
agency_cd,site_no,datetime,tz_cd,77472_00065,77472_00065_cd,77474_00060,77474_00060_cd
5s,15s,20d,6s,14n,10s,14n,10s
USGS,7010075,9/17/2015 0:00,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 0:05,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 0:10,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 0:15,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 0:20,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 0:25,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 0:30,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 0:35,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 0:40,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 0:45,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 0:50,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 0:55,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 1:00,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 1:05,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 1:10,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 1:15,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 1:20,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 1:25,CDT,1.93,A,0.16,A
USGS,7010075,9/17/2015 1:30,CDT,1.93,A,0.16,A
