Date,Time,DateTime,Temp,SpCond,SpCond_Corr,pH,pH_Corr,pHmV,Chloride,Choride_Corr,AmmoniumN,NitrateN,Turbidity+,Turbidity_Corr,DO,DO_Corr
9/18/2015,12:10:49,9/18/2015 12:10:49,14.76,0.754,0.754,7.18,7.18,-36.4,51.22,51.22,3.35,0,3.7,3.7,92.65,92.65
9/18/2015,12:15:50,9/18/2015 12:15:50,14.64,0.75,0.749954305,7.14,7.139951408,-34.1,49.62,49.61026807,6.29,0,-0.2,-0.200848623,93.73,93.7309139
9/18/2015,12:20:51,9/18/2015 12:20:51,14.57,0.75,0.74990861,7.14,7.139902855,-33.9,49.75,49.73047074,7.84,0,-0.1,-0.101697246,93.95,93.9518278
9/18/2015,12:25:51,9/18/2015 12:25:51,14.51,0.749,0.748863067,7.13,7.129866289,-33.9,50.32,50.29028215,7.67,0,-0.2,-0.202543049,93.23,93.23273867
9/18/2015,12:30:51,9/18/2015 12:30:51,14.5,0.749,0.748817523,7.13,7.129821887,-33.6,50.74,50.69995308,7.13,0,0,-0.003388853,92.74,92.74364953
9/18/2015,12:35:51,9/18/2015 12:35:51,14.63,0.749,0.74877198,7.13,7.129777521,-33.5,50.84,50.78983598,6.49,0,0,-0.004234656,93.71,93.7145604
9/18/2015,12:40:51,9/18/2015 12:40:51,14.69,0.749,0.748726437,7.13,7.129733188,-33.6,50.66,50.60012553,5.78,0,-0.2,-0.20508046,94.56,94.56547126
9/18/2015,12:45:51,9/18/2015 12:45:51,14.66,0.749,0.748680894,7.12,7.11971632,-33.3,50.23,50.16099184,5.32,0,-0.2,-0.205926263,94.16,94.16638213
9/18/2015,12:50:52,9/18/2015 12:50:52,14.65,0.749,0.748635198,7.12,7.119675825,-33.3,50.49,50.41056801,4.89,0,-0.2,-0.206774886,93.58,93.58729603
9/18/2015,12:55:51,9/18/2015 12:55:51,14.69,0.749,0.748589807,7.12,7.11963563,-33.1,50.04,49.95180486,4.6,0,-0.2,-0.20761787,93.8,93.80820386
9/18/2015,13:00:52,9/18/2015 13:00:52,14.7,0.749,0.748544112,7.12,7.119595199,-33.3,50.39,50.29105919,4.35,0,-0.2,-0.208466493,94.19,94.19911776
9/18/2015,13:05:52,9/18/2015 13:05:52,14.72,0.749,0.748498569,7.12,7.119554933,-33.2,50.24,50.13165089,4.13,0,-0.1,-0.109312297,94.33,94.34002863
9/18/2015,13:10:52,9/18/2015 13:10:52,14.6,0.75,0.749453025,7.12,7.119514699,-33,50.1,49.98229631,4.03,0,0,-0.0101581,93.62,93.63093949
9/18/2015,13:15:52,9/18/2015 13:15:52,14.59,0.75,0.749407482,7.12,7.119474496,-33,50.17,50.04228421,3.84,0,-0.2,-0.211003904,93.42,93.43185036
9/18/2015,13:20:51,9/18/2015 13:20:51,14.64,0.75,0.749362091,7.12,7.119434459,-33.1,50.43,50.29155347,3.73,0,-0.2,-0.211846888,93.91,93.92275819
9/18/2015,13:25:52,9/18/2015 13:25:52,14.66,0.75,0.749316396,7.12,7.119394185,-33.1,50.42,50.27171692,3.58,0,-0.2,-0.212695511,94.07,94.08367209
9/18/2015,13:30:52,9/18/2015 13:30:52,14.61,0.75,0.749270852,7.12,7.119354076,-32.9,50.25,50.09261549,3.5,0,-0.2,-0.213541314,92.87,92.88458295
9/18/2015,13:35:51,9/18/2015 13:35:51,14.63,0.75,0.749225461,7.12,7.119314132,-32.8,50.14,49.97336778,3.43,0,-0.2,-0.214384298,92.78,92.79549078
9/18/2015,13:40:52,9/18/2015 13:40:52,14.7,0.75,0.749179766,7.12,7.119273953,-33,50.02,49.84416801,3.34,0,-0.2,-0.215232921,94.04,94.05640468
9/18/2015,13:45:52,9/18/2015 13:45:52,14.74,0.75,0.749134223,7.12,7.119233938,-33.1,50.38,50.19260889,3.28,0,-0.2,-0.216078725,94.14,94.15731555
9/18/2015,13:50:52,9/18/2015 13:50:52,14.76,0.75,0.749088679,7.12,7.119193954,-33,50.11,49.91426166,3.21,0,-0.2,-0.216924528,93.89,93.90822642
9/18/2015,13:55:51,9/18/2015 13:55:51,14.68,0.75,0.749043288,7.12,7.119154134,-33,50.45,50.24264175,3.2,0,-0.1,-0.117767512,93.74,93.75913424
9/18/2015,14:00:52,9/18/2015 14:00:52,14.62,0.75,0.748997593,7.12,7.11911408,-33.1,50.82,50.60060142,3.18,0,-0.2,-0.218616135,93.13,93.15004815
9/18/2015,14:05:52,9/18/2015 14:05:52,14.54,0.75,0.748952049,7.11,7.109163704,-32.8,50.46,50.23292732,3.15,0,-0.2,-0.219461939,92.75,92.77095901
9/18/2015,14:10:52,9/18/2015 14:10:52,14.51,0.75,0.748906506,7.11,7.109127698,-32.7,50.51,50.27279931,3.14,0,-0.2,-0.220307742,92.55,92.57186988
9/18/2015,14:15:52,9/18/2015 14:15:52,14.49,0.75,0.748860963,7.12,7.118994501,-32.9,50.97,50.71988807,3.09,0,-0.2,-0.221153546,92.5,92.52278074
9/18/2015,14:20:52,9/18/2015 14:20:52,14.52,0.75,0.74881542,7.12,7.118954704,-32.8,50.81,50.55107817,3.07,0,-0.1,-0.121999349,92.7,92.72369161
9/18/2015,14:25:52,9/18/2015 14:25:52,14.49,0.75,0.748769876,7.11,7.10901985,-32.7,50.62,50.35257728,3.09,0,-0.2,-0.222845153,92.49,92.51460247
9/18/2015,14:30:52,9/18/2015 14:30:52,14.46,0.75,0.748724333,7.11,7.108983956,-32.8,51,50.71988665,3.04,0,-0.1,-0.123690956,91.66,91.68551334
9/18/2015,14:35:52,9/18/2015 14:35:52,14.42,0.75,0.74867879,7.11,7.10894809,-32.7,50.75,50.46191544,3.05,0,-0.2,-0.22453676,91.16,91.1864242
9/18/2015,14:40:52,9/18/2015 14:40:52,14.39,0.75,0.748633247,7.12,7.118795822,-32.8,51.41,51.10673773,3.06,0,-0.3,-0.325382563,91.25,91.27733507
