"Plot Title: 20089046"
"#"	"Date Time, GMT-04:00"	"Full Range, μS/cm (LGR S/N: 20089046, SEN S/N: 20089046)"	"Temp, °C (LGR S/N: 20089046, SEN S/N: 20089046)"	"SpC, μS/cm (LGR S/N: 20089046)"	"Coupler Detached (LGR S/N: 20089046)"	"Coupler Attached (LGR S/N: 20089046)"	"Stopped (LGR S/N: 20089046)"	"End Of File (LGR S/N: 20089046)"
1	11/10/17 02:54:05 PM	687.5	14.83	1,269.4	Logged			
2	11/10/17 02:59:05 PM	687.9	14.85	1,269.5				
3	11/10/17 03:04:05 PM	688.3	14.86	1,269.8				
4	11/10/17 03:09:05 PM	687.9	14.85	1,269.3				
5	11/10/17 03:14:05 PM	687.9	14.84	1,269.6				
6	11/10/17 03:19:05 PM	687.9	14.83	1,269.8				
7	11/10/17 03:24:05 PM	687.9	14.83	1,269.7				
8	11/10/17 03:29:05 PM	687.9	14.83	1,269.7				
9	11/10/17 03:34:05 PM	687.9	14.82	1,269.9				
10	11/10/17 03:39:05 PM	687.6	14.80	1,269.9				
11	11/10/17 03:44:05 PM	688.0	14.80	1,270.6				
12	11/10/17 03:49:05 PM	687.9	14.82	1,269.7				
13	11/10/17 03:54:05 PM	687.6	14.80	1,269.7				
14	11/10/17 03:59:05 PM	687.6	14.79	1,269.9				
15	11/10/17 04:04:05 PM	687.6	14.79	1,269.9				
16	11/10/17 04:09:05 PM	687.6	14.79	1,269.8				
17	11/10/17 04:14:05 PM	687.6	14.77	1,270.3				
18	11/10/17 04:19:05 PM	687.2	14.76	1,269.9				
19	11/10/17 04:24:05 PM	687.2	14.76	1,269.8				
20	11/10/17 04:29:05 PM	687.2	14.77	1,269.4				
21	11/10/17 04:34:05 PM	687.2	14.76	1,269.6				
22	11/10/17 04:39:05 PM	687.2	14.73	1,270.5				
23	11/10/17 04:44:05 PM	686.8	14.73	1,269.7				
24	11/10/17 04:49:05 PM	687.2	14.73	1,270.4				
25	11/10/17 04:54:05 PM	686.8	14.73	1,269.6				
26	11/10/17 04:59:05 PM	686.9	14.72	1,270.0				
27	11/10/17 05:04:05 PM	687.2	14.72	1,270.5				
28	11/10/17 05:09:05 PM	687.2	14.73	1,270.1				
29	11/10/17 05:14:05 PM	687.2	14.72	1,270.3				
30	11/10/17 05:19:05 PM	687.2	14.73	1,269.9				
31	11/10/17 05:24:05 PM	687.2	14.72	1,270.2				
32	11/10/17 05:29:05 PM	687.2	14.71	1,270.4				
33	11/10/17 05:34:05 PM	686.9	14.71	1,269.8				
34	11/10/17 05:39:05 PM	686.9	14.70	1,270.0				
35	11/10/17 05:44:05 PM	686.9	14.70	1,270.0				
