Date,Time,Temp,SpCond,pH,pHmV,Chloride,AmmoniumN,NitrateN,Turbidity.,DO
9/18/2015,12:10:49,14.76,0.754,7.18,-36.4,51.22,3.35,0,3.7,92.65
9/18/2015,12:15:50,14.64,0.75,7.14,-34.1,49.62,6.29,0,-0.2,93.73
9/18/2015,12:20:51,14.57,0.75,7.14,-33.9,49.75,7.84,0,-0.1,93.95
9/18/2015,12:25:51,14.51,0.749,7.13,-33.9,50.32,7.67,0,-0.2,93.23
9/18/2015,12:30:51,14.5,0.749,7.13,-33.6,50.74,7.13,0,0,92.74
9/18/2015,12:35:51,14.63,0.749,7.13,-33.5,50.84,6.49,0,0,93.71
9/18/2015,12:40:51,14.69,0.749,7.13,-33.6,50.66,5.78,0,-0.2,94.56
9/18/2015,12:45:51,14.66,0.749,7.12,-33.3,50.23,5.32,0,-0.2,94.16
9/18/2015,12:50:52,14.65,0.749,7.12,-33.3,50.49,4.89,0,-0.2,93.58
9/18/2015,12:55:51,14.69,0.749,7.12,-33.1,50.04,4.6,0,-0.2,93.8
9/18/2015,13:00:52,14.7,0.749,7.12,-33.3,50.39,4.35,0,-0.2,94.19
9/18/2015,13:05:52,14.72,0.749,7.12,-33.2,50.24,4.13,0,-0.1,94.33
9/18/2015,13:10:52,14.6,0.75,7.12,-33,50.1,4.03,0,0,93.62
9/18/2015,13:15:52,14.59,0.75,7.12,-33,50.17,3.84,0,-0.2,93.42
9/18/2015,13:20:51,14.64,0.75,7.12,-33.1,50.43,3.73,0,-0.2,93.91
9/18/2015,13:25:52,14.66,0.75,7.12,-33.1,50.42,3.58,0,-0.2,94.07
9/18/2015,13:30:52,14.61,0.75,7.12,-32.9,50.25,3.5,0,-0.2,92.87
9/18/2015,13:35:51,14.63,0.75,7.12,-32.8,50.14,3.43,0,-0.2,92.78
9/18/2015,13:40:52,14.7,0.75,7.12,-33,50.02,3.34,0,-0.2,94.04
9/18/2015,13:45:52,14.74,0.75,7.12,-33.1,50.38,3.28,0,-0.2,94.14
